Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","QTE-040-01-L-D-A","SAMTEC_QTE-040-01-L-D-A",67.000000,-55.200000,90.000000,top
"C1","1pF","C_0402_1005Metric",64.400000,-72.150000,180.000000,bottom
"C2","1pF","C_0402_1005Metric",64.400000,-71.250000,180.000000,bottom
"C3","1pF","C_0402_1005Metric",64.400000,-70.350000,180.000000,bottom
"C4","1pF","C_0402_1005Metric",64.400000,-69.450000,180.000000,bottom
"C5","1pF","C_0402_1005Metric",64.400000,-68.150000,180.000000,bottom
"C6","1pF","C_0402_1005Metric",64.400000,-67.250000,180.000000,bottom
"C7","1pF","C_0402_1005Metric",64.400000,-66.350000,180.000000,bottom
"C8","1pF","C_0402_1005Metric",64.400000,-65.450000,180.000000,bottom
"C9","1pF","C_0402_1005Metric",64.400000,-64.150000,180.000000,bottom
"C10","1pF","C_0402_1005Metric",64.400000,-63.250000,180.000000,bottom
"C11","1pF","C_0402_1005Metric",64.400000,-62.350000,180.000000,bottom
"C12","1pF","C_0402_1005Metric",64.400000,-61.450000,180.000000,bottom
"C13","1pF","C_0402_1005Metric",64.400000,-60.150000,180.000000,bottom
"C14","1pF","C_0402_1005Metric",64.400000,-59.250000,180.000000,bottom
"C15","1pF","C_0402_1005Metric",64.400000,-58.350000,180.000000,bottom
"C16","1pF","C_0402_1005Metric",64.400000,-57.450000,180.000000,bottom
"C17","1pF","C_0402_1005Metric",64.350000,-52.900000,180.000000,bottom
"C18","1pF","C_0402_1005Metric",64.350000,-52.000000,180.000000,bottom
"C19","1pF","C_0402_1005Metric",64.350000,-51.100000,180.000000,bottom
"C20","1pF","C_0402_1005Metric",64.350000,-50.200000,180.000000,bottom
"C21","1pF","C_0402_1005Metric",64.350000,-48.950000,180.000000,bottom
"C22","1pF","C_0402_1005Metric",64.350000,-48.050000,180.000000,bottom
"C23","1pF","C_0402_1005Metric",64.350000,-47.150000,180.000000,bottom
"C24","1pF","C_0402_1005Metric",64.350000,-46.250000,180.000000,bottom
"C25","1pF","C_0402_1005Metric",64.350000,-44.950000,180.000000,bottom
"C26","1pF","C_0402_1005Metric",64.350000,-44.050000,180.000000,bottom
"C27","1pF","C_0402_1005Metric",64.350000,-43.150000,180.000000,bottom
"C28","1pF","C_0402_1005Metric",64.350000,-42.250000,180.000000,bottom
"C29","1pF","C_0402_1005Metric",64.350000,-40.950000,180.000000,bottom
"C30","1pF","C_0402_1005Metric",64.350000,-40.050000,180.000000,bottom
"C31","1pF","C_0402_1005Metric",64.350000,-39.150000,180.000000,bottom
"C32","1pF","C_0402_1005Metric",64.350000,-38.250000,180.000000,bottom
"C33","1pF","C_0402_1005Metric",69.600000,-72.150000,0.000000,bottom
"C34","1pF","C_0402_1005Metric",69.600000,-71.250000,0.000000,bottom
"C35","1pF","C_0402_1005Metric",69.600000,-70.350000,0.000000,bottom
"C36","1pF","C_0402_1005Metric",69.600000,-69.450000,0.000000,bottom
"C37","1pF","C_0402_1005Metric",69.600000,-68.150000,0.000000,bottom
"C38","1pF","C_0402_1005Metric",69.600000,-67.250000,0.000000,bottom
"C39","1pF","C_0402_1005Metric",69.600000,-66.350000,0.000000,bottom
"C40","1pF","C_0402_1005Metric",69.600000,-65.450000,0.000000,bottom
"C41","1pF","C_0402_1005Metric",69.600000,-64.150000,0.000000,bottom
"C42","1pF","C_0402_1005Metric",69.600000,-63.250000,0.000000,bottom
"C43","1pF","C_0402_1005Metric",69.600000,-62.350000,0.000000,bottom
"C44","1pF","C_0402_1005Metric",69.600000,-61.450000,0.000000,bottom
"C45","1pF","C_0402_1005Metric",69.600000,-60.150000,0.000000,bottom
"C46","1pF","C_0402_1005Metric",69.600000,-59.250000,0.000000,bottom
"C47","1pF","C_0402_1005Metric",69.600000,-58.350000,0.000000,bottom
"C48","1pF","C_0402_1005Metric",69.600000,-57.450000,0.000000,bottom
"C49","1pF","C_0402_1005Metric",69.600000,-52.970000,0.000000,bottom
"C50","1pF","C_0402_1005Metric",69.600000,-52.050000,0.000000,bottom
"C51","1pF","C_0402_1005Metric",69.600000,-51.150000,0.000000,bottom
"C52","1pF","C_0402_1005Metric",69.600000,-50.250000,0.000000,bottom
"C53","1pF","C_0402_1005Metric",69.600000,-48.950000,0.000000,bottom
"C54","1pF","C_0402_1005Metric",69.600000,-48.050000,0.000000,bottom
"C55","1pF","C_0402_1005Metric",69.600000,-47.150000,0.000000,bottom
"C56","1pF","C_0402_1005Metric",69.600000,-46.250000,0.000000,bottom
"C57","1pF","C_0402_1005Metric",69.600000,-44.950000,0.000000,bottom
"C58","1pF","C_0402_1005Metric",69.600000,-44.050000,0.000000,bottom
"C59","1pF","C_0402_1005Metric",69.600000,-43.150000,0.000000,bottom
"C60","1pF","C_0402_1005Metric",69.600000,-42.250000,0.000000,bottom
"C61","1pF","C_0402_1005Metric",69.600000,-40.950000,0.000000,bottom
"C62","1pF","C_0402_1005Metric",69.600000,-40.050000,0.000000,bottom
"C63","1pF","C_0402_1005Metric",69.600000,-39.150000,0.000000,bottom
"C64","1pF","C_0402_1005Metric",69.600000,-38.250000,0.000000,bottom
"J2","MMCX","SAMTEC_MMCX-J-P-H-ST-EM1",67.000000,-80.200000,0.000000,bottom
"R1","49.9Ω","R_0603_1608Metric",68.200000,-74.700000,0.000000,bottom
